,x,y
0,312,19
1,313,20
2,314,20
3,315,20
4,316,20
5,317,19
6,318,19
7,319,19
8,320,19
9,321,19
10,322,19
11,323,18
12,324,18
13,325,17
14,326,18
15,327,18
16,328,18
17,329,18
18,330,18
19,331,18
20,332,18
21,333,18
22,334,18
23,335,18
24,336,18
25,337,18
26,338,18
27,339,18
28,340,18
29,341,17
30,342,18
31,343,18
32,344,18
33,345,18
34,346,17
35,347,17
36,348,17
37,349,16
38,350,16
39,351,16
40,352,16
41,353,16
42,354,15
43,355,15
44,356,15
45,357,15
46,358,15
47,359,14
48,360,14
49,361,14
50,362,14
51,363,14
52,364,14
53,365,14
54,366,14
55,367,14
56,368,14
57,369,14
58,370,14
59,371,14
60,372,13
61,373,13
62,374,13
63,375,13
64,376,13
65,377,13
66,378,13
67,379,13
68,380,13
69,381,12
70,382,12
71,383,12
72,384,13
73,385,13
74,386,14
75,387,14
76,388,14
77,389,15
78,390,15
79,391,15
80,392,15
81,393,15
82,394,15
83,395,15
84,396,16
85,397,16
86,398,17
87,399,17
88,400,17
89,401,17
90,402,18
91,403,19
92,404,20
93,405,20
94,406,20
95,407,21
96,408,21
97,409,21
98,410,22
99,411,22
100,412,23
101,413,23
102,414,24
103,415,25
104,416,26
105,417,26
106,418,27
107,419,27
108,420,27
109,421,28
110,422,28
111,423,29
112,424,30
113,425,30
114,426,31
115,427,32
116,428,32
117,429,32
118,430,32
119,431,33
120,432,34
121,433,34
122,434,35
123,435,35
124,436,35
125,437,36
126,438,36
127,439,37
128,440,38
129,441,39
130,442,39
131,443,40
132,444,40
133,445,41
134,446,42
135,447,40
136,448,43
137,449,43
138,450,43
139,451,44
140,452,45
141,453,46
142,454,46
143,455,46
144,456,47
145,457,47
146,458,48
147,459,48
148,460,49
149,461,49
150,462,49
151,463,50
152,464,50
153,465,50
154,466,51
155,467,51
156,468,52
157,469,52
158,470,52
159,471,53
160,472,53
161,473,54
162,474,54
163,475,55
164,476,55
165,477,56
166,478,56
167,479,57
168,480,57
169,481,57
170,482,58
171,483,58
172,484,57
173,485,59
174,486,59
175,487,60
176,488,61
177,489,61
178,490,62
179,491,62
180,492,63
181,493,63
182,494,64
183,495,64
184,496,65
185,497,65
186,498,64
187,499,66
188,500,67
189,501,68
190,502,68
191,503,68
192,504,68
193,505,69
194,506,70
195,507,71
196,508,72
197,509,72
198,510,72
199,511,72
200,512,73
201,513,73
202,514,74
203,515,75
204,516,75
205,517,75
206,518,75
207,519,74
208,520,74
209,521,76
210,522,77
211,523,78
212,524,78
213,525,78
214,526,78
215,527,79
216,528,79
217,529,79
218,530,79
219,531,79
220,532,78
221,533,79
222,534,79
223,535,79
224,536,80
225,537,80
226,538,80
227,539,80
228,540,81
229,541,80
230,542,80
231,543,80
232,544,80
233,545,81
234,546,82
235,547,82
236,548,82
237,549,81
238,550,82
239,551,82
240,552,82
241,553,82
242,554,82
243,555,82
244,556,82
245,557,82
246,558,82
247,559,83
248,560,84
249,561,84
250,562,84
251,563,83
252,564,84
253,565,84
254,566,84
255,567,84
256,568,85
257,569,85
258,570,85
259,571,85
260,572,85
261,573,85
262,574,85
263,575,85
264,576,85
265,577,85
266,578,85
267,579,85
268,580,85
269,581,85
270,582,85
271,583,85
272,584,85
273,585,85
274,586,85
275,587,85
276,588,85
277,589,85
278,590,85
279,591,85
280,592,85
281,593,85
282,594,85
283,595,85
284,596,85
285,597,85
286,598,85
287,599,85
288,600,85
289,601,85
290,602,85
291,603,85
292,604,85
293,605,85
294,606,85
295,607,85
296,608,85
297,609,85
298,610,85
299,611,85
300,612,85
301,613,85
302,614,85
303,615,85
304,616,85
